step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,1889,1,0.142888496762021,0.0,0.0,0.45940891216726276,0.0,0.0,,,,,,
2,2946,2,0.30014112377523844,0.0,0.0,,,,,,,,,
3,3331,3,0.30774904826629,0.0,0.0,,,,,,,,,
4,3588,4,0.3706600946417439,0.0,0.0,,,,,,,,,
5,4101,5,0.23042976093182477,0.0,0.0,,,,,,,,,
6,4518,6,0.2929368205400019,0.0,0.0,,,,,,,,,
7,4871,7,0.3551165714611795,0.0,0.0,,,,,,,,,
8,5528,8,0.24866474293364774,0.0,0.0,,,,,,,,,
9,5801,9,0.293606936805296,1.0,1.0,,,,,,,,,
10,6002,10,0.29995327541565714,1.0,1.0,,,,,,,,,
11,6707,11,0.2722172259005312,1.0,1.0,,,,,,,,,
12,7892,12,0.2911664453730036,1.0,1.0,,,,,,,,,
13,8093,13,0.28620279999430936,1.0,1.0,,,,,,,,,
14,8310,14,0.2571245457931177,1.0,1.0,,,,,,,,,
15,8487,15,0.3257421766042171,1.0,1.0,,,,,,,,,
16,9032,16,0.31032935764716485,1.0,1.0,,,,,,,,,
17,9569,17,0.318941718925803,1.0,1.0,,,,,,,,,
18,9850,18,0.2683376519856555,1.0,1.0,,,,,,,,,
19,10211,19,0.3013870275419322,1.0,1.0,,,,,,,,,
20,10972,20,0.26661050952064935,1.0,1.0,,,,,,,,,
21,11261,21,0.30949821609293493,1.0,1.0,,,,,,,,,
22,11758,22,0.2596543405479444,1.0,1.0,,,,,,,,,
23,13671,23,0.25122815856774494,1.0,1.0,,,,,,,,,
24,13912,24,0.27067537993949375,1.0,1.0,,,,,,,,,
25,14329,25,0.322442935718279,0.0,0.0,,,,,,,,,
26,14674,26,0.2859817512791863,1.0,1.0,,,,,,,,,
27,15171,27,0.13873698387516575,1.0,1.0,,,,,,,,,
28,15732,28,0.2776683082540902,1.0,1.0,,,,,,,,,
29,15941,29,0.3353822206800733,1.0,1.0,,,,,,,,,
30,16102,30,0.23691119612819878,1.0,1.0,,,,,,,,,
31,16335,31,0.3093686070845283,1.0,1.0,,,,,,,,,
32,17096,32,0.3004404316137726,1.0,1.0,,,,,,,,,
33,17185,33,0.3050877289652239,0.0,0.0,,,,,,,,,
34,17570,34,0.2287361243481655,1.0,1.0,,,,,,,,,
35,18963,35,0.15320495886880284,1.0,1.0,,,,,,,,,
36,19524,36,0.3119646691941079,1.0,1.0,,,,,,,,,
37,19869,37,0.22218907001216964,1.0,1.0,,,,,,,,,
38,20246,38,0.2323672401418933,1.0,1.0,,,,,,,,,
39,20535,39,0.3414140764865604,1.0,1.0,,,,,,,,,
40,21128,40,0.3494105396283197,1.0,1.0,,,,,,,,,
41,21425,41,0.26201331660233484,1.0,1.0,,,,,,,,,
42,21602,42,0.2525780933961042,1.0,1.0,,,,,,,,,
43,22171,43,0.25358558333574355,1.0,1.0,,,,,,,,,
44,22644,44,0.23949617401348852,1.0,1.0,,,,,,,,,
45,22957,45,0.25084269681825294,1.0,1.0,,,,,,,,,
46,23662,46,0.2960671391661229,1.0,1.0,,,,,,,,,
47,24567,47,0.25064231063285897,1.0,1.0,,,,,,,,,
48,24984,48,0.28592194414814004,1.0,1.0,,,,,,,,,
49,25169,49,0.3060174342456815,0.0,0.0,,,,,,,,,
50,25338,50,0.3174693261964378,1.0,1.0,,,,,,,,,
51,25435,51,0.43970094797114145,0.0,0.0,,,,,,,,,
52,25644,52,0.30121626446084876,1.0,1.0,,,,,,,,,
53,26205,53,0.2595670194923004,1.0,1.0,,,,,,,,,
54,26694,54,0.2959756483259129,1.0,1.0,,,,,,,,,
55,27103,55,0.22091376221603204,1.0,1.0,,,,,,,,,
56,27280,56,0.26530812061930853,1.0,1.0,,,,,,,,,
57,27689,57,0.2630195588068938,1.0,1.0,,,,,,,,,
58,28090,58,0.2972658850360022,1.0,1.0,,,,,,,,,
59,28579,59,0.22313320843654316,1.0,1.0,,,,,,,,,
60,28820,60,0.2484270640468185,0.0,0.0,,,,,,,,,
61,29021,61,0.3001540847177057,1.0,1.0,,,,,,,,,
62,29334,62,0.26478803119958827,1.0,1.0,,,,,,,,,
63,29703,63,0.3098063292924231,1.0,1.0,,,,,,,,,
64,30064,64,0.32346345929296355,1.0,1.0,,,,,,,,,
65,30337,65,0.2818471370438374,1.0,1.0,,,,,,,,,
66,30602,66,0.30251560489712054,1.0,1.0,,,,,,,,,
67,30995,67,0.31066989881947304,1.0,1.0,,,,,,,,,
68,32388,68,0.22623826611657702,1.0,1.0,,,,,,,,,
69,32597,69,0.3528511075527814,1.0,1.0,,,,,,,,,
70,33374,70,0.3349442255344649,1.0,1.0,,,,,,,,,
71,33647,71,0.300033584627633,1.0,1.0,,,,,,,,,
72,33872,72,0.3371715814469131,1.0,1.0,,,,,,,,,
73,34193,73,0.28371952569387365,1.0,1.0,,,,,,,,,
74,34426,74,0.3602688100904272,1.0,1.0,,,,,,,,,
75,35067,75,0.28932150064315415,1.0,1.0,,,,,,,,,
76,35428,76,0.28201287248757584,1.0,1.0,,,,,,,,,
77,35821,77,0.30018178319752614,1.0,1.0,,,,,,,,,
78,36230,78,0.31724221224676336,0.0,0.0,,,,,,,,,
79,36431,79,0.27397963998633534,1.0,1.0,,,,,,,,,
80,37584,80,0.3155616481511894,1.0,1.0,,,,,,,,,
81,38025,81,0.2788827794554262,1.0,1.0,,,,,,,,,
82,38402,82,0.2754346579736987,1.0,1.0,,,,,,,,,
83,38883,83,0.17681184409454243,1.0,1.0,,,,,,,,,
84,39644,84,0.24779941331857694,1.0,1.0,,,,,,,,,
85,40397,85,0.3188884359857958,1.0,1.0,,,,,,,,,
86,40830,86,0.2992739294494809,1.0,1.0,,,,,,,,,
87,40959,87,0.32951902264403543,1.0,1.0,,,,,,,,,
88,41376,88,0.2500804624492328,1.0,1.0,,,,,,,,,
89,42273,89,0.24329554632433234,1.0,1.0,,,,,,,,,
90,43482,90,0.2268778242111802,1.0,1.0,,,,,,,,,
91,44067,91,0.2787566544325114,1.0,1.0,,,,,,,,,
92,44476,92,0.26308026319806516,1.0,1.0,,,,,,,,,
93,44917,93,0.24440703048411294,1.0,1.0,,,,,,,,,
94,45238,94,0.3143905135082332,1.0,1.0,,,,,,,,,
95,45927,95,0.1770812975361476,1.0,1.0,,,,,,,,,
96,46144,96,0.23539489022053506,1.0,1.0,,,,,,,,,
97,46425,97,0.24441406718806452,1.0,1.0,,,,,,,,,
98,46994,98,0.2991754656761823,1.0,1.0,0.287981319360994,1.0,1.0,,,,,,
99,47251,99,0.25790528907382393,1.0,1.0,,,,,,,,,
100,47708,100,0.29469124691048015,1.0,1.0,,,,,,,,,
101,48069,101,0.31285813502004506,1.0,1.0,,,,,,,,,
102,49062,102,0.29471349162045185,1.0,1.0,,,,,,,,,
103,49311,103,0.33332917474665835,1.0,1.0,,,,,,,,,
104,50032,104,0.23628517996657242,1.0,1.0,,,,,,,,,
105,50121,105,0.3600513775671557,1.0,1.0,,,,,,,,,
106,50362,106,0.28256150400803565,1.0,1.0,,,,,,,,,
107,50547,107,0.3001361851260378,1.0,1.0,,,,,,,,,
108,50764,108,0.3396992549015286,1.0,1.0,,,,,,,,,
109,51093,109,0.3511402088772762,1.0,1.0,,,,,,,,,
110,51614,110,0.29050634366367517,1.0,1.0,,,,,,,,,
111,51983,111,0.2839429343734631,1.0,1.0,,,,,,,,,
112,52904,112,0.16977910535005125,1.0,1.0,,,,,,,,,
113,53401,113,0.16339232534701,1.0,1.0,,,,,,,,,
114,53778,114,0.25960652690749914,1.0,1.0,,,,,,,,,
115,54027,115,0.26444903300540434,1.0,1.0,,,,,,,,,
116,54932,116,0.2889040108561713,1.0,1.0,,,,,,,,,
117,55133,117,0.28300327483873844,1.0,1.0,,,,,,,,,
118,55342,118,0.22416751606705423,1.0,1.0,,,,,,,,,
119,55583,119,0.2832021091011969,1.0,1.0,,,,,,,,,
120,56224,120,0.2806950761739631,1.0,1.0,,,,,,,,,
121,56889,121,0.2808805419035173,1.0,1.0,,,,,,,,,
122,57506,122,0.2653395547852255,1.0,1.0,,,,,,,,,
123,57843,123,0.23316831740167326,1.0,1.0,,,,,,,,,
124,58156,124,0.18882187782959917,1.0,1.0,,,,,,,,,
